year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
2008,AL,Receiving IHC in a private home or a personal care home,Level A,697,1076,60,120
2008,AL,Receiving IHC in a private home or a personal care home,Level B,693,1068,56,112
2008,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,484.67,757.34,60,120
2008,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,480.67,749.34,56,112
2008,AL,Receiving specialized IHC in a private home or personal care home,,697,1076,60,120
2008,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,484.67,757.34,60,120
2008,AL,Living in foster home with IHC or specialized IHC,,747,1176,110,220
2008,AL,Living in cerebral palsy treatment center,,833,1348,196,392
2008,AK,Living independently,,999,1484,362,528
2008,AK,Living independently with ineligible spouse,,1158,...,521,...
2008,AK,Living in household of another,,792.67,1180.34,368,543
2008,AK,Living in household of another with ineligible spouse,,888.67,...,464,...
2008,AK,Assisted living home,,737,1150,100,200
2008,AK,Assisted living home with an ineligible spouse,,737,...,100,...
2008,AK,Medicaid facility,,75,150,45,90
2008,AZ,Requires housekeeping services,,707,1026,70,70
2008,CA,Independent living with cooking facilities,Aged and disabled,870,1524,233,568
2008,CA,Independent living with cooking facilities,Blind,935,1751,298,795
2008,CA,Nonmedical out-of-home care,,1049,2098,412,1142
2008,CA,Independent living without cooking facilities,Aged and disabled,954,1692,317,736
2008,CA,Living in household of another,Aged and disabled,658.67,1233,234,595.66
2008,CA,Living in household of another,Blind,739.67,1460,315,822.66
2008,CA,Disabled minor in home of parent/guardian/relative by marriage,,756,...,119,...
2008,CA,Nonmedical out-of-home care living in household of another,,831.67,1683,407,1045.66
2008,CA,Disabled minor in the household of another,,532.67,...,108,...
2008,CA,Medicaid facility,,50,100,20,40
2008,CO,Living independently or in the home of another,Aged,662,1324,25,368
2008,CO,Adult foster care,Blind and disabled,1200,2400,563,1444
2008,CO,Home care,,1101.15,...,464.15,...
2008,CT,Independent community living,,805,1212,168,256
2008,CT,Licensed room and board facility,,637,956,...,...
2008,CT,Medicaid facility,,63,126,33,66
2008,DE,Living in adult residential care facility,,777,1404,140,448
2008,DC,Adult foster care home,(50 beds or less),1122,2244,485,1288
2008,DC,Adult foster care home,(over 50 beds),1232,2464,595,1508
2008,DC,Medicaid facility,,70,140,40,80
2008,FL,Community care program,Adult family care homes,715.4,...,78.4,...
2008,FL,Community care program,Assisted living facilities,715.4,...,78.4,...
2008,FL,Medicaid facility,,35,70,5,10
2008,GA,Medicaid facility,,50,100,20,40
2008,HI,Foster care home,,1278.9,2557.9,641.9,1601.8
2008,HI,Medicaid facility,,50,100,20,40
