year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
1992,AL,Receiving personal care in a private home or a personal care home,Level A,482,753,60,120
1992,AL,Receiving personal care in a private home or a personal care home,Level B,478,745,56,112
1992,AL,Receiving personal care and support and maintenance in a private home or personal care home,Level A,341.34,542,60,120
1992,AL,Receiving personal care and support and maintenance in a private home or personal care home,Level B,337.34,534,56,112
1992,AL,Receiving nursing care in a private home or personal care home,,482,753,60,120
1992,AL,Receiving nursing care and support and maintenance in a private home or personal care home,,341.34,542,60,120
1992,AL,Living in foster home with personal care or nursing care,,532,853,110,220
1992,AL,Living in cerebral palsy treatment center,,618,1025,196,392
1992,AK,Living independently,,784,1161,362,528
1992,AK,Living independently with ineligible spouse,,943,N/A,521,N/A
1992,AK,Living in household of another,,649.34,965,368,543
1992,AK,Living in household of another with ineligible spouse,,745.34,N/A,464,N/A
1992,AK,Medicaid facility,,75,150,45,90
1992,AZ,Requires housekeeping services,,492,N/A,70,N/A
1992,AZ,Licensed private nursing homes,,502,793,80,160
1992,AZ,Licensed county operated nursing homes,,N/A,N/A,174,348
1992,AZ,Licensed supervisory care homes,,472,733,60,100
1992,AZ,Adult foster care homes,,472,733,60,100
1992,AZ,24-hour treatment facilities,,472,733,60,100
1992,CA,Independent living with cooking facilities,Aged and disabled,645,1190,223,557
1992,CA,Independent living with cooking facilities,Blind,719,1395,297,762
1992,CA,Nonmedical out-of-home care,,724,1441,302,808
1992,CA,Independent living without cooking facilities,Aged and disabled,713,1326,291,693
1992,CA,Living in household of another,Aged and disabled,511.34,989.33,230,567.33
1992,CA,Living in household of another,Blind,585.34,1194.33,304,772.33
1992,CA,Disabled minor in home of parent/guardian/relative,,514,N/A,92,N/A
1992,CA,Nonmedical out-of-home care living in household of another,,590.34,1240.33,309,818.33
1992,CA,Disabled minor in the household of another,,380.34,N/A,99,N/A
1992,CA,Medicaid facility,,42,84,12,24
1992,CO,Living independently,Aged,478,956,56,323
1992,CO,Living independently,Blind and disabled,422,844,0,211
1992,CO,Adult foster care,,628,N/A,206,N/A
1992,CO,Home care,Aged,778,N/A,356,N/A
1992,CO,Home care,Blind and disabled,722,N/A,300,N/A
1992,CO,Individual with essential spouse,Blind and disabled,550,N/A,128,N/A
1992,CT,Independent community living,,747.1,1094.2,325.1,461.2
1992,DE,Living in adult residential care facility,,562,1081,140,448
1992,DC,Adult foster-care home,(50 beds or less),569.2,1138.4,147.2,505.4
1992,DC,Adult foster-care home,(over 50 beds),679.2,1358.4,257.2,725.4
1992,DC,Living independently,,437,663,15,30
1992,DC,Living in household of another,,296.34,452,15,30
1992,DC,Living independently with an essential person,,648,874,15,30
1992,DC,Living in household of another with an essential person,,437,592.67,15,30
1992,DC,Medicaid facility,,70,140,40,80
1992,FL,Community care program (Adult foster care),Normal/Minimal,633,N/A,211,N/A
1992,FL,Community care program (Adult foster care),Moderate,633,N/A,211,N/A
1992,FL,Adult congregate living facilities,,633,N/A,211,N/A
1992,FL,Foster home,Minimal,633,N/A,211,N/A
1992,FL,Foster home,Moderate,633,N/A,211,N/A
1992,FL,Foster home,Intensive,633,N/A,211,N/A
1992,FL,Long-term residential care program for the disabled (Small group home),Minimal,677,N/A,255,N/A
1992,FL,Long-term residential care program for the disabled (Small group home),Moderate,695,N/A,273,N/A
1992,FL,Long-term residential care program for the disabled (Small group home),Intensive,719,N/A,297,N/A
1992,FL,Large group home/Residential habilitation center,A. Mild/moderate disability,592,N/A,170,N/A
1992,FL,Large group home/Residential habilitation center,B. Severe or disruptive behavior,613,N/A,191,N/A
1992,FL,Large group home/Residential habilitation center,C. Deaf/blind/nonambulatory,625,N/A,203,N/A
1992,FL,Large group home/Residential habilitation center,D. Combin. B and C,636,N/A,214,N/A
1992,FL,Large group home/Residential habilitation center,E. Any combin. above,648,N/A,226,N/A
1992,FL,Medicaid facility,,35,70,5,10
1992,HI,Living independently,,426.9,641.8,4.9,8.8
1992,HI,Domiciliary Care,I,686.9,1373.8,264.9,740.8
1992,HI,Domiciliary Care,II,771.9,1543.8,349.9,910.8
1992,HI,Domiciliary Care,III,873.9,1747.8,451.9,1114.8
1992,ID,Living independently,,492,678,70,45
1992,ID,Living with essential person,,678,N/A,45,N/A
1992,ID,Room and board facility,,529,N/A,107,N/A
1992,ID,Adult residential care home/Adult foster care home,Level I,703,N/A,281,N/A
1992,ID,Adult residential care home/Adult foster care home,Level II,762,N/A,340,N/A
1992,ID,Adult residential care home/Adult foster care home,Level III,816,N/A,394,N/A
1992,ID,Semi-independent group residential facility,,598,N/A,176,N/A
1992,IN,Licensed residential facility,,789,N/A,367,N/A
1992,IA,Living independently,Blind,444,677,22,44
1992,IA,Living in household of another,Blind,303.34,466,22,44
1992,IA,Living with dependent person,Aged and disabled,633,844,211,211
1992,IA,Living with dependent person,Blind,655,888,233,255
