year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
2007,AL,Receiving IHC in a private home or a personal care home,Level A,683,1054,60,120
2007,AL,Receiving IHC in a private home or a personal care home,Level B,679,1046,56,112
2007,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,475.34,742.67,60,120
2007,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,471.34,734.67,56,112
2007,AL,Receiving specialized IHC in a private home or personal care home,,683,1054,60,120
2007,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,475.34,742.67,60,120
2007,AL,Living in foster home with IHC or specialized IHC,,733,1154,110,220
2007,AL,Living in cerebral palsy treatment center,,819,1326,196,392
2007,AK,Living independently,,985,1462,362,528
2007,AK,Living independently with ineligible spouse,,1144,...,521,...
2007,AK,Living in household of another,,783.34,1165.67,368,543
2007,AK,Living in household of another with ineligible spouse,,879.34,...,464,...
2007,AK,Assisted living home,,723,1134,100,200
2007,AK,Assisted living home with an ineligible spouse,,723,...,100,...
2007,AK,Medicaid facility,,75,150,45,90
2007,AZ,Requires housekeeping services,,693,1004,70,70
2007,CA,Independent living with cooking facilities,Aged and disabled,856,1502,233,568
2007,CA,Independent living with cooking facilities,Blind,921,1729,298,795
2007,CA,Nonmedical out-of-home care,,1035,2070,412,1136
2007,CA,Independent living without cooking facilities,Aged and disabled,940,1670,317,736
2007,CA,Living in household of another,Aged and disabled,649.34,1218.33,234,595.66
2007,CA,Living in household of another,Blind,730.34,1445.33,315,822.66
2007,CA,Disabled minor in home of parent/guardian/relative by marriage,,742,...,119,...
2007,CA,Nonmedical out-of-home care living in household of another,,822.34,1668.33,407,1045.66
2007,CA,Disabled minor in the household of another,,523.34,...,108,...
2007,CA,Medicaid facility,,50,100,20,40
2007,CO,Living independently or in the home of another,Aged,648,1296,25,362
2007,CO,Adult foster care,Blind and disabled,918,1836,295,902
2007,CO,Home care,,1087.15,...,464.15,...
2007,CT,Independent community living,,791,1184,168,250
2007,CT,Licensed room and board facility,,623,934,...,...
2007,CT,Medicaid facility,,61,122,31,62
2007,DE,Living in adult residential care facility,,763,1382,140,448
2007,DC,Adult foster care home,(50 beds or less),1108,2216,485,1282
2007,DC,Adult foster care home,(over 50 beds),1218,2436,595,1502
2007,DC,Medicaid facility,,70,140,40,80
2007,FL,Community care program,Adult family care homes,701.4,...,78.4,...
2007,FL,Community care program,Assisted living facilities,701.4,...,78.4,...
2007,FL,Medicaid facility,,35,70,5,10
2007,GA,Medicaid facility,,50,100,20,40
2007,HI,Foster care home,,1244.9,2489.8,621.9,1555.8
2007,HI,Domiciliary care facility,(1 to 5 residents),1244.9,2489.8,621.9,1555.8
2007,HI,Domiciliary care facility,(6 or more residents),1352.9,2705.8,729.9,1771.8
2007,ID,Living independently or in the household of others,,655,934,32,...
2007,ID,Living with essential person,,934,...,...,...
2007,ID,Room and board facility,,800,...,177,...
2007,ID,Adult residential care home/Adult foster care home,Level I,942,...,319,...
2007,ID,Adult residential care home/Adult foster care home,Level II,1009,...,386,...
2007,ID,Adult residential care home/Adult foster care home,Level III,1076,...,453,...
2007,ID,Semi-independent group residential facility,,800,...,177,...
2007,IN,Licensed residential facility,,1216.9,...,593.9,...
2007,IN,Medicaid facility,,52,104,22,44
