year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
2005,AL,Receiving IHC in a private home or a personal care home,Level A,639,989,60,120
2005,AL,Receiving IHC in a private home or a personal care home,Level B,635,981,56,112
2005,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,446,699.34,60,120
2005,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,442,691.34,56,112
2005,AL,Receiving specialized IHC in a private home or personal care home,,639,989,60,120
2005,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,446,699.34,60,120
2005,AL,Living in foster home with IHC or specialized IHC,,689,1089,110,220
2005,AL,Living in cerebral palsy treatment center,,775,1261,196,392
2005,AK,Living independently,,941,1397,362,528
2005,AK,Living independently with ineligible spouse,,1100,...,521,...
2005,AK,Living in household of another,,754,1122.34,368,543
2005,AK,Assisted living home,,679,1069,100,200
2005,AK,Assisted living home with an ineligible spouse,,679,...,100,...
2005,AK,Medicaid facility,,75,150,45,90
2005,AZ,Requires housekeeping services,,649,939,70,70
2005,CA,Independent living with cooking facilities,Aged and disabled,805,1422,226,553
2005,CA,Independent living with cooking facilities,Blind,869,1642,290,773
2005,CA,Nonmedical out-of-home care,,979,1958,400,1089
2005,CA,Independent living without cooking facilities,Aged and disabled,887,1586,308,717
2005,CA,Living in household of another,Aged and disabled,613,1158.67,227,579.33
2005,CA,Living in household of another,Blind,692,1379.67,306,800.33
2005,CA,Disabled minor in home of parent/guardian/relative by marriage,,694,...,115,...
2005,CA,Nonmedical out-of-home care living in household of another,,782,1596.67,396,1017.33
2005,CA,Disabled minor in the household of another,,491,...,105,...
2005,CA,Medicaid facility,,49,98,19,38
2005,CO,Living independently or in the home of another,Aged,604,1208,25,339
2005,CO,Adult foster care,Blind and disabled,818,1611,239,742
2005,CO,Home care,,982,...,403,...
2005,CT,Independent community living,,747,1096,168,227
2005,CT,Licensed room and board facility,,579,869,...,...
2005,CT,Medicaid facility,,57,114,27,54
2005,DE,Living in adult residential care facility,,719,1317,140,448
2005,DC,Adult foster care home,(50 beds or less),926,1852,347,983
2005,DC,Adult foster care home,(over 50 beds),1036,2072,457,1203
2005,DC,Medicaid facility,,70,140,40,80
2005,FL,Community care program,Adult family care homes,657.4,...,78.4,...
2005,FL,Community care program,Assisted living facilities,657.4,...,78.4,...
2005,FL,Medicaid facility,,35,70,5,10
2005,HI,Foster care home,,1100.9,2201.8,521.9,1332.8
2005,HI,Domiciliary care facility,(1 to 5 residents),1100.9,2201.8,521.9,1332.8
2005,HI,Domiciliary care facility,(6 or more residents),1208.9,2417.8,629.9,1548.8
2005,ID,Living independently or in the household of others,,631,889,52,20
2005,ID,Living with essential person,,889,...,20,...
2005,ID,Room and board facility,,776,...,197,...
2005,ID,Adult residential care home/Adult foster care home,Level I,918,...,339,...
2005,ID,Adult residential care home/Adult foster care home,Level II,985,...,406,...
2005,ID,Adult residential care home/Adult foster care home,Level III,1053,...,474,...
2005,ID,Semi-independent group residential facility,,776,...,197,...
2005,IN,Licensed residential facility,,1196.85,...,617.85,...
2005,IN,Medicaid facility,,52,104,22,44
2005,IA,Living independently,Blind,601,913,22,44
2005,IA,Living in household of another,Blind,408,623.34,22,44
2005,IA,Living with dependent person,Aged and disabled,872,1162,293,293
2005,IA,Living with dependent person,Blind,894,1206,315,337
2005,IA,Family life or boarding home,,721,1153,142,284
2005,IA,Living with dependent person in household of another,Aged and disabled,679,872.34,293,293
2005,IA,Living with dependent person in household of another,Blind,701,916.34,315,337
2005,IA,Family life or boarding home,(1/3 reduction in Federal benefit rate applies),528,1172.34,142,593
2005,IA,Residential care,,777.17,...,198.17,...
2005,IA,In-home health care,,1059.55,1830.1,480.55,961.1
2005,KY,Personal-care facility,,1019,...,440,...
2005,KY,Family care home,,751,...,172,...
2005,KY,Caretaker in home,,641,984,62,115
2005,LA,Medicaid facility,,38,76,8,16
2005,ME,Living alone or with others,,589,884,10,15
2005,ME,Living in the household of another,,394,591.34,8,12
2005,ME,Fost home,,628,1142,49,273
2005,ME,Flate rate boarding home,,796,1459,217,590
2005,ME,Cost reimbursement boarding home,,813,1505,234,636
2005,ME,Medicaid facility,,40,80,10,20
2005,MD,Care home,Minimal supervision,645,1290,66,132
2005,MD,Care home,Moderate supervision,754,1508,175,350
2005,MD,Care home,Extensive supervision,1042,2084,463,926
2005,MD,Care home,Specialized and intensive supervision,1245,2490,666,1332
2005,MD,Assisted living facility,,763,1526,184,368
2005,MA,Living independently,Aged,707.82,1070.72,128.82,201.72
2005,MA,Living independently,Blind,728.74,1457.48,149.74,588.48
2005,MA,Living independently,Disabled,693.39,1049.06,114.39,180.06
2005,MA,Shared living expenses,Aged,618.26,1070.72,39.26,201.72
2005,MA,Shared living expenses,Blind,728.74,1457.48,149.74,588.48
2005,MA,Shared living expenses,Disabled,609.4,1049.06,30.4,180.06
2005,MA,Living in household of another,Aged,490.36,795.14,104.36,215.8
2005,MA,Living in household of another,Blind,728.74,1457.48,342.74,878.14
2005,MA,Living in household of another,Disabled,473.58,773.52,87.58,194.18
2005,MA,Licensed rest home,Aged and disabled,872,1744,293,875
2005,MA,Licensed rest home,Blind,728.74,1457.48,149.74,588.48
2005,MA,Medicaid facility,,65,130,35,70
2005,MA,Assisted living facility,,1033,1550,454,681
2005,MI,Living independently,,593,897,14,28
2005,MI,Living in household of another,,395.33,598,9.33,18.66
2005,MI,Domiciliary care,,666,1332,87,463
2005,MI,Personal care facility,,736.5,1473,157.5,604
2005,MI,Home for the aged,,758.3,1516,179.3,647.6
2005,MI,Living independently with essential person,,883,1180,14,21
2005,MI,Medicaid facility,,37,74,7,14
2005,MN,Living independently,Entitlement prior to 1/1/94,640,995,61,126
2005,MN,Living independently,Entitlement 1/1/94 or later,640,960,61,91
2005,MN,Living in household of another,Entitlement prior to 1/1/94,477,905,91,325.66
2005,MN,Living in household of another,Entitlement 1/1/94 or later,477,642,91,62.66
2005,MN,Nonmedical group residential facility,,1153.36,...,574.36,...
2005,MN,Medicaid facility,,76,152,46,92
2005,MO,Licensed residential care facility,I,735,1181,156,312
2005,MO,Licensed residential care facility,II,871,1453,292,584
2005,MO,Licensed intermediate care or skilled nursing home,,969,1649,390,780
2005,MO,Aid to the blind,,1058,1827,479,958
