year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
2000,AL,Receiving IHC in a private home or a personal care home,Level A,572,889,60,120
2000,AL,Receiving IHC in a private home or a personal care home,Level B,568,881,56,112
2000,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,401.34,632.67,60,120
2000,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,397.34,624.67,56,112
2000,AL,Receiving specialized IHC in a private home or personal care home,,572,889,60,120
2000,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,401.34,632.67,60,120
2000,AL,Living in foster home with IHC or specialized IHC,,622,989,110,220
2000,AL,Living in cerebral palsy treatment center,,708,1161,196,392
2000,AK,Living independently,,874,1297,362,528
2000,AK,Living independently with ineligible spouse,,1033,N/A,521,N/A
2000,AK,Living in household of another,,709.34,1055.67,368,543
2000,AK,Living in household of another with ineligible spouse,,805.34,N/A,464,N/A
2000,AK,Medicaid facility,,75,150,45,90
2000,AZ,Requires housekeeping services,,582,582,70,70
2000,AZ,Licensed supervisory care homes,,562,869,50,100
2000,AZ,Adult foster care homes,,562,869,50,100
2000,AZ,24-hour treatment facilities,,562,869,50,100
2000,AZ,Licensed private nursing home,,592,929,80,160
2000,CA,Independent living with cooking facilities,Aged and disabled,692,1229,180,460
2000,CA,Independent living with cooking facilities,Blind,749,1424,237,655
2000,CA,Nonmedical out-of-home care,,847,1694,335,925
2000,CA,Independent living without cooking facilities,Aged and disabled,765,1375,253,606
2000,CA,Independent living without cooking facilities,Blind,749,1424,237,655
2000,CA,Living in household of another,Aged and disabled,529,1006,187.66,493.33
2000,CA,Living in household of another,Blind,599,1202,257.66,689.33
2000,CA,Disabled minor in home of parent/guardian/relative by marriage,,593,N/A,81,N/A
2000,CA,Nonmedical out-of-home care living in household of another,,679,1396,337.66,883.33
2000,CA,Disabled minor in the household of another,,421,N/A,79.66,N/A
2000,CA,Medicaid facility,,44,8,14,28
2000,CO,Living independently,Aged,548,1096,36,327
2000,CO,Living independently,Blind and disabled,512,1024,0,255
