year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
1991,AL,Receiving personal care in a private home or a personal care home,Level A,467,730,60,120
1991,AL,Receiving personal care in a private home or a personal care home,Level B,463,722,56,112
1991,AL,Receiving personal care and support and maintenance in a private home or personal care home,Level A,331.34,526.67,60,120
1991,AL,Receiving personal care and support and maintenance in a private home or personal care home,Level B,327.34,518.67,56,112
1991,AL,Receiving nursing care in a private home or personal care home,,467,730,60,120
1991,AL,Receiving nursing care and support and maintenance in a private home or personal care home,,331.34,526.67,60,120
1991,AL,Living in foster home with personal care or nursing care,,517,830,110,220
1991,AL,Living in cerebral palsy treatment center,,603,1002,196,392
1991,AK,Living independently,,756,1120,349,510
1991,AK,Living independently with ineligible spouse,,909,N/A,502,N/A
1991,AK,Living in household of another,,626.34,930.67,355,524
1991,AK,Living in household of another with ineligible spouse,,718.34,N/A,447,N/A
1991,AK,Medicaid facility,,75,150,45,90
1991,AZ,Requires housekeeping services,,477,N/A,70,N/A
1991,AZ,Licensed private nursing homes,,487,770,80,160
1991,AZ,Licensed county operated nursing homes,,N/A,N/A,174,348
1991,AZ,Licensed supervisory care homes,,457,710,50,100
1991,AZ,Adult foster care homes,,457,710,50,100
1991,AZ,24-hour treatment facilities,,457,710,50,100
1991,CA,Independent living with cooking facilities,Aged and disabled,630,1167,223,557
1991,CA,Independent living with cooking facilities,Blind,704,1372,297,762
1991,CA,Nonmedical out-of-home care,,709,1418,302,808
1991,CA,Independent living without cooking facilities,Aged and disabled,698,1303,291,693
1991,CA,Living in household of another,Aged and disabled,501.34,974,230,567.33
1991,CA,Living in household of another,Blind,575.34,1179,304,772.33
1991,CA,Disabled minor in home of parent/guardian/relative,,499,N/A,92,N/A
1991,CA,Nonmedical out-of-home care living in household of another,,580.34,1225,309,818.33
1991,CA,Disabled minor in the household of another,,370.34,N/A,99,N/A
1991,CA,Medicaid facility,,42,84,12,24
1991,CO,Living independently,Aged,452,904,45,294
1991,CO,Living independently,Blind and disabled,407,814,0,204
1991,CO,Adult foster care,,604,N/A,197,N/A
