year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
1999,AL,Receiving IHC in a private home or a personal care,Level A,560,871,60,120
1999,AL,Receiving IHC in a private home or a personal care,Level B,556,863,56,112
1999,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,393.34,620.67,60,120
1999,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,389.34,612.67,56,112
1999,AL,Receiving specialized IHC in a private home or personal care home,,560,871,60,120
1999,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,393.34,620.67,60,120
1999,AL,Living in foster home with IHC or specialized IHC,,610,971,110,220
1999,AL,Living in cerebral palsy treatment center,,696,1143,196,392
1999,AK,Living independently,,862,1279,362,528
1999,AK,Living independently with ineligible spouse,,1021,N/A,521,N/A
1999,AK,Living in household of another,,701.34,1043.67,368,543
1999,AK,Living in household of another with ineligible spouse,,797.34,N/A,464,N/A
1999,AK,Medicaid facility,,75,150,45,90
1999,AZ,Requires housekeeping services,,570,570,70,70
1999,AZ,Licensed supervisory care homes,,550,851,50,100
1999,AZ,Adult foster care homes,,550,851,50,100
1999,AZ,24-hour treatment facilities,,550,851,50,100
1999,AZ,Licensed private nursing homes,,580,911,80,160
1999,CA,Independent living with cooking facilities,Aged and disabled,676,1201,176,450
1999,CA,Independent living with cooking facilities,Blind,732,1391,232,640
1999,CA,Nonmedical out-of-home care,,827,1654,327,903
1999,CA,Independent living without cooking facilities,Aged and disabled,747,1343,247,592
1999,CA,Living in household,Aged and disabled,517,983,183.66,482.33
1999,CA,Living in household,Blind,585,1174,251.66,673.33
1999,CA,Disabled minor in home of parent guardian or relative by marriage,,579,N/A,79,N/A
1999,CA,Nonmedical out-of-home care living in household of another,,663,1364,329.66,863.33
1999,CA,Disabled minor in the household another of,,411,N/A,77.66,N/A
1999,CA,Medicaid facility,,43,86,13,26
1999,CO,Living independently,Aged,536,36,500,0
1999,CO,Living independently,Blind and disabled,1072,321,1000,249
1999,CO,Adult foster care 4,,730,0,230,0
1999,CO,Home care,Aged,932,0,432,0
1999,CO,Home care,Blind and disabled,896,0,396,0
1999,CO,Individual with essential spouse,Blind and disabled,730,0,230,0
1999,CT,Independent community living,,747,1094,247,343
1999,CT,Licensed room and board facility,,500,751,0,0
1999,CT,Medicaid facility,,50,100,20,40
1999,DE,Living in adult residential care facility,,640,1199,140,448
1999,DC,Adult foster care home,(50 beds or less),807,1614,307,863
1999,DC,Adult foster care home,(over 50 beds),917,1834,417,1083
1999,DC,Medicaid facility,,70,140,40,80
1999,FL,Community care program,Adult family care homes,708,0,208,0
1999,FL,Assisted living facilities,,708,0,208,0
1999,FL,Medicaid facility,,35,70,5,10
1999,HI,Living independently,,504.9,759.8,4.9,8.8
1999,HI,Domiciliary care facility,(1 to 5 residents),1021.9,2043.8,521.9,1292.8
1999,HI,Domiciliary care facility,(6 or more residents),1129.9,2259.8,629.9,1508.8
1999,ID,Living independently or in the household of others,,548,768,48,17
1999,ID,Living with essential person,,767,N/A,17,N/A
1999,ID,Room and board facility,,603,N/A,103,N/A
1999,ID,Adult residentialAdult foster care home,Level I,861,N/A,361,N/A
1999,ID,Adult residentialAdult foster care home,Level II,928,N/A,428,N/A
1999,ID,Adult residentialAdult foster care home,Level III,996,N/A,496,N/A
1999,ID,Semi-independent,,646,N/A,146,N/A
1999,IN,Licensed residential facility,,1269.61,0,769.61,0
1999,IA,Living independently,Blind,522,795,22,44
1999,IA,Living in household of another,Blind,355.34,544.67,22,44
1999,IA,Living with dependent person,Aged and disabled,751,1002,251,251
1999,IA,Living with dependent person,Blind,773,1046,273,295
1999,IA,Family life,,562.2,1164.4,62.2,413.4
1999,IA,Living with dependent in household of another,Aged and disabled,584.34,751.67,251,251
1999,IA,Living with dependent in household of another,Blind,606.34,795.67,273,295
1999,IA,Family life or boarding home,(1/3 reduction in Federal benefit rate applies),395.54,894.16,62.2,393.49
1999,IA,Residential care,,809.73,N/A,309.73,N/A
