year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
2004,AL,Receiving IHC in a private home or a personal care home,Level A,624,966,60,120
2004,AL,Receiving IHC in a private home or a personal care home,Level B,620,958,56,112
2004,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,436,684,60,120
2004,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,432,676,56,112
2004,AL,Receiving specialized IHC in a private home or personal care home,,624,966,60,120
2004,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,436,684,60,120
2004,AL,Living in foster home with IHC or specialized IHC,,674,1066,110,220
2004,AL,Living in cerebral palsy treatment center,,760,1238,196,392
2004,AK,Living independently,,926,1374,362,528
2004,AK,Living independently with ineligible spouse,,1085,...,521,...
2004,AK,Living in household of another,,744,1107,368,543
2004,AK,Living in household of another with ineligible spouse,,840,...,464,...
2004,AK,Medicaid facility,,75,150,45,90
2004,AZ,Requires housekeeping services,,634,916,70,70
2004,AZ,Licensed supervisory care homes,,614,946,50,100
2004,AZ,Adult foster care homes,,614,946,50,100
2004,AZ,24-hour treatment facilities,,614,946,50,100
2004,AZ,Licensed private nursing home,,644,1006,80,160
2004,CA,Independent living with cooking facilities,Aged and disabled,790,1399,226,553
2004,CA,Independent living with cooking facilities,Blind,854,1619,290,773
2004,CA,Nonmedical out-of-home care,,964,1928,400,1082
2004,CA,Independent living without cooking facilities,Aged and disabled,872,1563,308,717
2004,CA,Living in household of another,Aged and disabled,603,1143.33,227,579.33
2004,CA,Living in household of another,Blind,682,1364.33,306,800.33
2004,CA,Disabled minor in home of parent/guardian/relative by marriage,,679,...,115,...
2004,CA,Nonmedical out-of-home care living in household of another,,772,1581.33,396,1017.33
2004,CA,Disabled minor in the household of another,,481,...,105,...
2004,CA,Medicaid facility,,49,98,19,38
2004,CO,Living independently or in the home of another,Aged,601,1193,37,347
2004,CO,Adult foster care,Blind and disabled,803,1588,239,742
2004,CO,Home care,,967,...,403,...
2004,CT,Independent community living,,747,1096,183,250
2004,CT,Licensed room and board facility,,564,846,...,...
2004,CT,Medicaid facility,,56,112,26,52
2004,DE,Living in adult residential care facility,,704,1294,140,448
2004,DE,Living independently,,569,...,5,...
2004,DC,Adult foster care home,(50 beds or less),871,1742,307,896
2004,DC,Adult foster care home,(over 50 beds),981,1962,417,1116
2004,DC,Medicaid facility,,70,140,40,80
2004,FL,Community care program,Adult family care homes,642.4,...,78.4,...
2004,FL,Community care program,Assisted living facilities,642.4,...,78.4,...
2004,FL,Medicaid facility,,35,70,5,10
2004,HI,Living independently,,...,...,...,...
2004,HI,Foster care home,,1085.9,2171.8,521.9,1325.8
2004,HI,Domiciliary care facility,(1 to 5 residents),1085.9,2171.8,521.9,1325.8
2004,HI,Domiciliary care facility,(6 or more residents),1193.9,2387.8,629.9,1541.8
2004,ID,Living independently or in the household of others,,616,866,52,20
2004,ID,Living with essential person,,866,...,20,...
2004,ID,Room and board facility,,761,...,197,...
2004,ID,Residential and assisted living facility,,903,...,339,...
2004,ID,Adult residential care home/Adult foster care home,Level I,903,...,339,...
2004,ID,Adult residential care home/Adult foster care home,Level II,970,...,406,...
2004,ID,Adult residential care home/Adult foster care home,Level III,1038,...,474,...
2004,ID,Semi-independent group residential facility,,761,...,197,...
2004,ID,Assisted living facility or certified family home,,...,...,539,...
2004,IL,Living independently,,564,846,...,...
2004,IL,Room and board facility,,564,846,...,...
2004,IL,Residential facility,,564,846,...,...
2004,IN,Licensed residential facility,,1271.85,...,707.85,...
2004,IN,Medicaid facility,,52,104,22,44
2004,IA,Living independently,Blind,586,890,22,44
2004,IA,Living in household of another,Blind,398,608,22,44
2004,IA,Living with dependent person,Aged and disabled,849,1131,285,285
2004,IA,Living with dependent person,Blind,871,1175,307,329
2004,IA,Family life or boarding home,,706,1432,142,586
2004,IA,Living with dependent person in household of another,Aged and disabled,661,849,285,285
2004,IA,Living with dependent person in household of another,Blind,683,893,307,329
