year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
2006,AL,Receiving IHC in a private home or a personal care home,Level A,663,1024,60,120
2006,AL,Receiving IHC in a private home or a personal care home,Level B,659,1016,56,112
2006,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,462,722.67,60,120
2006,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,458,714.67,56,112
2006,AL,Receiving specialized IHC in a private home or personal care home,,663,1024,60,120
2006,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,462,722.67,60,120
2006,AL,Living in foster home with IHC or specialized IHC,,713,1124,110,220
2006,AL,Living in cerebral palsy treatment center,,799,1296,196,392
2006,AK,Living independently,,965,1432,362,528
2006,AK,Living independently with ineligible spouse,,1124,...,521,...
2006,AK,Living in household of another,,770,1145.67,368,543
2006,AK,Living in household of another with ineligible spouse,,866,...,464,...
2006,AK,Assisted living home,,703,1104,100,200
2006,AK,Assisted living home with an ineligible spouse,,703,...,100,...
2006,AK,Medicaid facility,,75,150,45,90
2006,AZ,Requires housekeeping services,,673,974,70,70
2006,CA,Independent living with cooking facilities,Aged and disabled,812,1437,209,533
2006,CA,Independent living with cooking facilities,Blind,877,1664,274,760
2006,CA,Nonmedical out-of-home care,,1015,2030,412,1126
2006,CA,Independent living without cooking facilities,Aged and disabled,896,1605,293,701
2006,CA,Living in household of another,Aged and disabled,620,1175,218,572.33
2006,CA,Living in household of another,Blind,701,1402,299,799.33
2006,CA,Disabled minor in home of parent/guardian/relative by marriage,,698,...,95,...
2006,CA,Nonmedical out-of-home care living in household of another,,809,1648.33,407,1045.66
2006,CA,Disabled minor in the household of another,,494,...,92,...
2006,CA,Medicaid facility,,50,100,20,40
2006,CO,Living independently or in the home of another,Aged,628,1256,25,352
2006,CO,Adult foster care,Blind and disabled,873.69,1747.38,270.69,843.38
2006,CO,Home care,,1067.15,...,464.15,...
2006,CT,Independent community living,,771,1144,168,240
2006,CT,Licensed room and board facility,,603,904,...,...
2006,CT,Medicaid facility,,59,118,29,58
2006,DE,Living in adult residential care facility,,743,1352,140,448
2006,DC,Adult foster care home,(50 beds or less),950,1900,347,996
2006,DC,Adult foster care home,(over 50 beds),1060,2120,457,1216
2006,DC,Medicaid facility,,70,140,40,80
2006,FL,Community care program,Adult family care homes,681.4,...,78.4,...
2006,FL,Community care program,Assisted living facilities,681.4,...,78.4,...
2006,FL,Medicaid facility,,35,70,5,10
2006,HI,Foster care home,,1124.9,2249.8,521.9,1345.8
2006,HI,Domiciliary care facility,(1 to 5 residents),1124.9,2249.8,521.9,1345.8
2006,HI,Domiciliary care facility,(6 or more residents),1232.9,2465.8,629.9,1561.8
2006,ID,Living independently or in the household of others,,635,904,32,...
2006,ID,Living with essential person,,905,...,...,...
2006,ID,Room and board facility,,780,...,177,...
2006,ID,Adult residential care home/Adult foster care home,Level I,922,...,319,...
2006,ID,Adult residential care home/Adult foster care home,Level II,989,...,386,...
2006,ID,Adult residential care home/Adult foster care home,Level III,1056,...,453,...
2006,ID,Semi-independent group residential facility,,780,...,177,...
2006,IN,Licensed residential facility,,1196.9,...,593.9,...
2006,IN,Medicaid facility,,52,104,22,44
2006,IA,Living independently,Blind,625,948,22,44
2006,IA,Living in household of another,Blind,424,646.47,22,44
2006,IA,Living with dependent person,Aged and disabled,909,1210,306,306
2006,IA,Living with dependent person,Blind,931,1254,328,360
2006,IA,Family life or boarding home,,745,1510,142,606
2006,IA,Living with dependent person in household of another,Aged and disabled,708,908.67,306,306
2006,IA,Living with dependent person in household of another,Blind,730,952.67,328,350
2006,IA,Family life or boarding home,(1/3 reduction in Federal benefit rate applies),544,1208.67,142,606
2006,IA,Residential care,,893.35,...,290.35,...
2006,IA,In-home health care,,1083.55,1865.1,480.55,961.1
2006,KY,Personal-care facility,,1123,...,520,...
2006,KY,Family care home,,775,...,172,...
2006,KY,Caretaker in home,,665,1019,62,115
2006,LA,Medicaid facility,,38,76,8,16
2006,ME,Living alone or with others,,613,919,10,15
2006,ME,Living in the household of another,,410,614.67,8,12
2006,ME,Fost home,,652,1177,49,273
2006,ME,Flate rate boarding home,,820,1494,217,590
2006,ME,Cost reimbursement boarding home,,837,1540,234,636
2006,ME,Medicaid facility,,40,80,10,20
2006,MD,Care home,Minimal supervision,669,1338,66,132
2006,MD,Care home,Moderate supervision,778,1556,175,350
2006,MD,Care home,Extensive supervision,1066,2132,463,926
2006,MD,Care home,Specialized and intensive supervision,1269,2538,666,1332
2006,MD,Assisted living facility,,787,1574,184,368
2006,MA,Living independently,Aged,731.82,1105.72,128.82,201.72
2006,MA,Living independently,Blind,752.74,1505.48,149.74,601.48
2006,MA,Living independently,Disabled,717.39,1084.06,114.39,180.06
2006,MA,Shared living expenses,Aged,642.26,1105.72,39.26,201.72
2006,MA,Shared living expenses,Blind,752.74,1505.48,149.74,601.48
2006,MA,Shared living expenses,Disabled,633.4,1084.06,30.4,180.06
2006,MA,Living in household of another,Aged,506.36,818.47,104.36,215.8
2006,MA,Living in household of another,Blind,752.74,1505.47,350.74,902.8
2006,MA,Living in household of another,Disabled,489.58,796.85,87.58,194.18
2006,MA,Licensed rest home,Aged and disabled,896,1792,293,888
2006,MA,Licensed rest home,Blind,752.74,1505.48,149.74,601.48
2006,MA,Medicaid facility,,65,130,35,70
2006,MA,Assisted living facility,,1057,1585,454,681
2006,MI,Living independently,,617,932,14,28
2006,MI,Living in household of another,,411.33,621.33,9.33,18.66
2006,MI,Domiciliary care,,690,1380,87,476
2006,MI,Personal care facility,,760.5,1521,157.5,617
2006,MI,Home for the aged,,782.3,1564.6,179.3,660.6
2006,MI,Living independently with essential person,,919,1227,14,21
2006,MI,Medicaid facility,,37,74,7,14
2006,MN,Living independently,Entitlement prior to 1/1/94,664,1010,81,126
2006,MN,Living independently,Entitlement 1/1/94 or later,664,995,81,111
2006,MN,Living in household of another,Entitlement prior to 1/1/94,493,929,111,346.33
2006,MN,Living in household of another,Entitlement 1/1/94 or later,493,666,111,83.33
2006,MN,Nonmedical group residential facility,,713,...,130,...
2006,MN,Medicaid facility,,79,...,49,...
2006,MO,Licensed residential care facility,I,759,1216,156,312
2006,MO,Licensed residential care facility,II,895,1488,292,584
2006,MO,Licensed intermediate care or skilled nursing home,,933,1684,390,780
2006,MO,Aid to the blind,,510,1020,...,...
2006,MT,Personal care facilities,,697,1097,94,193
2006,MT,Group home for the mentally ill or disabled,,697,1097,94,193
2006,MT,Community home for physically or developmentally disabled,,697,1097,94,193
2006,MT,Child and adult foster care,,655.75,1014.5,52.75,110.5
2006,MT,Transitional living services for developmentally disabled,,629,961,26,57
2006,NE,Living independently,,603,904,0,0
2006,NE,Room and board facility,,520,1040,118,136
2006,NE,Adult family home,,751,1502,148,598
2006,NE,Licensed center for developmentally disabled,,590,1180,188,276
2006,NE,Licensed group home for children or child caring agency,,687,...,84,...
2006,NE,Assisted living facility,,1031,2062,428,1158
2006,NE,Medicaid facility,,50,100,20,40
2006,NV,Living independently,Aged,639.4,978.46,36.4,74.46
2006,NV,Living independently,Blind,712.3,1278.6,109.3,374.6
2006,NV,Living in household of another,Aged,426.27,652.31,24.27,49.64
2006,NV,Living in household of another,Blind,615.96,1134.61,213.96,531.94
2006,NV,Domiciliary care,Aged and blind,994,1785,350,881
2006,NH,Living independently,,630,925,27,21
2006,NH,Living with an essential person,,...,1219,...,13
2006,NH,Residential care facility for adults,,810,1620,207,414
2006,NH,Enhanced family care facilities,,810,1620,207,414
2006,NH,Community residences,Non-subsidized,752,...,149,...
2006,NH,Community residences,Subsidized,692,...,89,...
2006,NH,Medicaid facility,,56,...,26,...
2006,NJ,Congregate care,,753.05,1487.36,150.05,583.36
2006,NJ,Living alone or with others,,634.25,929.36,31.25,25.36
2006,NJ,Living alone with an ineligible spouse,,929.36,...,326.36,...
2006,NJ,Living with essential person,,929.36,...,24.36,...
