year,state,liv_arr,sub_cat,combn_indv,combn_cpl,state_indv,state_cpl
2011,AL,Receiving IHC in a private home or a personal care home,Level A,734,1131,60,120
2011,AL,Receiving IHC in a private home or a personal care home,Level B,730,1123,56,112
2011,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level A,509.34,794,60,120
2011,AL,Receiving IHC and support and maintenance in a private home or personal care home,Level B,505.34,786,56,112
2011,AL,Receiving specialized IHC in a private home or personal care home,,734,1131,60,120
2011,AL,Receiving specialized IHC and support and maintenance in a private home or personal care home,,509.34,794,60,120
2011,AL,Living in foster home with IHC or specialized IHC,,784,1231,110,220
2011,AL,Living in cerebral palsy treatment center,,870,1403,196,392
2011,AK,Living independently,,1036,1539,362,528
2011,AK,Living independently with ineligible spouse,,1195,...,521,...
2011,AK,Living in household of another,,817.34,1217,368,543
2011,AK,Living in household of another with ineligible spouse,,913.34,...,464,...
2011,AK,Assisted living home,,774,1211,100,200
2011,AK,Assisted living home with an ineligible spouse,,774,...,100,...
2011,AK,Medicaid facility,,75,150,45,90
2011,CA,Independent living with cooking facilities,Aged and disabled,845,1407.2,171,396.2
2011,CA,Independent living with cooking facilities,Blind,908,1554.2,234,543.2
2011,CA,Nonmedical out-of-home care,,1086,2172,412,1161
2011,CA,Independent living without cooking facilities,Aged and disabled,929,1575.2,255,564.2
2011,CA,Living in household of another,Aged and disabled,639.66,1075.33,190.32,401.33
2011,CA,Living in household of another,Blind,718.32,1222.33,268.98,548.33
2011,CA,Disabled minor in home of parent/guardian/relative by marriage,,739,...,65,...
2011,CA,Nonmedical out-of-home care living in household of another,,856.34,1719.66,407,1045.66
2011,CA,Disabled minor in the household of another,,517.3,...,67.96,...
2011,CA,Medicaid facility,,50,100,20,40
2011,CO,Living independently or in the home of another,Aged,699,1398,25,387
2011,CO,Adult foster care,Blind and disabled,1250,2500,551,1489
2011,CO,Home care,,1174,...,475,...
2011,CT,Independent community living,,842,1285,168,274
2011,CT,Licensed room and board facility,,674,1011,...,...
2011,CT,Medicaid facility,,69,138,39,78
2011,DE,Living in adult residential care facility,,814,1459,140,448
2011,DC,Adult foster care home,(50 beds or less),1159,2318,485,1307
2011,DC,Adult foster care home,(over 50 beds),1269,2538,595,1527
2011,DC,Medicaid facility,,70,140,40,80
2011,FL,Community care program,Adult family care homes,752.4,...,78.4,...
2011,FL,Community care program,Assisted living facilities,752.4,...,78.4,...
2011,FL,Medicaid facility,,35,70,5,10
2011,GA,Medicaid facility,,50,100,20,40
2011,HI,Foster care home,,1325.9,2651.8,651.9,1640.8
2011,HI,Medicaid facility,,50,100,20,40
2011,HI,Domiciliary care facility,(1 to 5 residents),1325.9,2651.8,651.9,1640.8
2011,HI,Domiciliary care facility,(6 or more residents),1433.9,2867.8,759.9,1856.8
2011,ID,Living independently or in the household of others,,727,1031,53,20
2011,ID,Living with essential person,,1064,...,52,...
2011,ID,Room and board facility,,872,...,198,...
2011,ID,Adult residential care home/Adult foster care home,Level I,1013,...,339,...
2011,ID,Adult residential care home/Adult foster care home,Level II,1080,...,406,...
2011,ID,Adult residential care home/Adult foster care home,Level III,1147,...,473,...
2011,ID,Semi-independent group residential facility,,872,...,198,...
2011,IN,Licensed residential facility,,1501.06,...,827.06,...
2011,IN,Medicaid facility,,52,104,22,44
2011,IA,Living independently,Blind,696,1055,22,44
2011,IA,Living in household of another,Blind,471.34,718,22,44
2011,IA,Living with dependent person,Aged and disabled,1018,1355,344,344
2011,IA,Living with dependent person,Blind,1040,1399,366,388
2011,IA,Family life or boarding home,Aged and disabled,816,1652,142,641
2011,IA,Family life or boarding home,Blind,838,1696,164,685
2011,IA,Living with dependent person in household of another,Aged and disabled,793.34,1018,344,344
2011,IA,Living with dependent person in household of another,Blind,815.34,1062,366,388
2011,IA,Family life or boarding home,(1/3 reduction in Federal benefit rate applies),591.34,1315,142,641
2011,IA,Family life or boarding home,(1/3 reduction in Federal benefit rate applies),613.34,1359,164,685
2011,IA,Residential care,,965.34,...,291.34,...
2011,IA,In-home health care,,1154.55,1972.1,480.55,961.1
2011,KS,Medicaid facility,,62,124,32,64
2011,KY,Personal-care facility,,1194,...,520,...
2011,KY,Family care home,,846,...,172,...
2011,KY,Caretaker in home,,736,1126,62,115
2011,LA,Medicaid facility,,38,76,8,16
2011,ME,Living alone or with others,,684,1026,10,15
2011,ME,Living in the household of another,,457.34,686,8,12
2011,ME,Fost home,,723,1284,49,273
2011,ME,Flate rate boarding home,,891,1601,217,590
2011,ME,Cost reimbursement boarding home,,908,1647,234,636
2011,ME,Medicaid facility,,40,80,10,20
2011,MD,Care home,Minimal supervision,740,1480,66,132
2011,MD,Care home,Moderate supervision,849,1698,175,350
2011,MD,Care home,Extensive supervision,1137,2274,463,926
2011,MD,Care home,Specialized and intensive supervision,1340,2680,666,1332
2011,MD,Assisted living facility,,858,1716,184,368
2011,MD,Rehabilitative residence,,82,164,52,104
2011,MA,Living independently,Aged,802.82,1212.72,128.82,201.72
2011,MA,Living independently,Blind,823.74,1647.48,149.74,636.48
2011,MA,Living independently,Disabled,788.39,1191.06,114.39,180.06
2011,MA,Shared living expenses,Aged,713.26,1212.72,39.26,201.72
2011,MA,Shared living expenses,Blind,823.74,1647.48,149.74,636.48
2011,MA,Shared living expenses,Disabled,704.4,1191.06,30.4,180.06
2011,MA,Living in household of another,Aged,553.7,889.8,104.36,215.8
2011,MA,Living in household of another,Blind,823.74,1647.49,374.4,973.48
2011,MA,Living in household of another,Disabled,536.92,868.18,87.58,194.18
2011,MA,Licensed rest home,Aged and disabled,967,1934,293,923
2011,MA,Licensed rest home,Blind,823.74,1647.48,149.74,636.48
2011,MA,Medicaid facility,,72.8,145.6,42.8,85.6
2011,MA,Assisted living facility,,1128,1692,454,681
2011,MI,Living independently,,688,1039,14,28
2011,MI,Living in household of another,,458.67,692.66,9.33,18.66
2011,MI,Domiciliary care,,761,1522,87,511
2011,MI,Personal care facility,,831.5,1663,157.5,652
2011,MI,Home for the aged,,853.3,1706,179.3,695.6
2011,MI,Living independently with essential person,,1026,1370,14,21
2011,MI,Living in the household of another with essential person,,684,913.34,9.33,14
2011,MI,Medicaid facility,,37,74,7,14
2011,MN,Living independently,Entitlement prior to 1/1/94,735,1117,81,126
2011,MN,Living independently,Entitlement 1/1/94 or later,735,1102,81,111
2011,MN,Living in household of another,Entitlement prior to 1/1/94,542,1001,112.66,347
2011,MN,Living in household of another,Entitlement 1/1/94 or later,542,738,112.66,84
2011,MN,Nonmedical group residential facility,,915,...,261,...
2011,MN,Medicaid facility,,89,...,59,...
2011,MO,Licensed residential care facility,I,830,1323,156,312
2011,MO,Licensed residential care facility,II,966,1595,292,584
2011,MO,Licensed intermediate care or skilled nursing home,,1064,1791,390,780
2011,MO,Aid to the blind,,510,1020,...,...
2011,MT,Personal care facilities,,768,1204,94,193
2011,MT,Group home for the mentally ill or disabled,,768,1204,94,193
2011,MT,Community home for physically or developmentally disabled,,768,1204,94,193
2011,MT,Child and adult foster care,,726.75,1121.5,52.75,110.5
2011,MT,Transitional living services for developmentally disabled,,700,1068,26,57
2011,NE,Living independently,,679,1011,5,0
2011,NE,Room and board facility,,674,1348,0,337
2011,NE,Adult family home,,802,1604,128,593
2011,NE,Licensed center for developmentally disabled,,674,1348,0,337
2011,NE,Licensed group home for children or child caring agency,,738,...,64,...
2011,NE,Assisted living facility,,1112,2224,438,1213
2011,NE,Medicaid facility,,50,100,20,40
2011,NV,Living independently,Aged,710.4,1085.46,36.4,74.46
2011,NV,Living independently,Blind,783.3,1385.6,109.3,374.6
2011,NV,Living in household of another,Aged,473.61,723.64,24.27,49.64
2011,NV,Living in household of another,Blind,663.3,1205.94,213.96,531.94
2011,NV,Domiciliary care,Aged and blind,1065,1892,391.22,881
2011,NH,Living independently,,688,1012,27,21
2011,NH,Living with an essential person,,...,1362,...,38
2011,NH,Residential care facility for adults,,868,1736,207,414
2011,NH,Enhanced family care facilities,,868,1736,207,414
2011,NH,Community residences,Non-subsidized,810,...,149,...
2011,NH,Community residences,Subsidized,750,...,89,...
2011,NH,Medicaid facility,,65,...,35,...
2011,NJ,Congregate care,,824.05,1629.36,150.05,618.36
2011,NJ,Living alone or with others,,705.25,1036.36,31.25,25.36
2011,NJ,Living alone with an ineligible spouse,,827,...,153,...
2011,NJ,Living with essential person,,1037.36,...,25.36,...
2011,NJ,Living in household of another,,493.65,767.09,44.31,93.09
2011,NJ,Medicaid facility,,40,80,10,20
2011,NJ,Residential health care facility,,884.05,1749.36,210.05,738.36
2011,NM,Licensed adult residential care home,,774,1211,100,200
2011,NY,Living alone,,761,1115,87,104
2011,NY,Living with others,,697,1057,23,46
2011,NY,Congregate care I,Areas A and B,940.48,1880.96,266.48,869.96
2011,NY,Congregate care I,Area C,902.48,1804.96,228.48,793.96
2011,NY,Congregate care II,Areas A and B,1109,2218,435,1207
2011,NY,Congregate care II,Area C,1079,2158,405,1147
2011,NY,Congregate care III,Area A,1368,2736,694,1725
2011,NY,Congregate care III,Areas B and C,1368,2736,694,1725
2011,NY,Living in household of another,,472.34,720,23,46
2011,NY,Medicaid facility/residential facility/emergency shelter,,30,60,...,...
2011,NC,Adult care home,Basic,1228,?,554,?
2011,NC,Adult care home,Special care unit,1561,?,887,?
2011,OH,Adult family/foster home,,1180,2170,506,1159
2011,OH,Adult community mental health housing,,980,1770,306,759
2011,OH,Adult community alternative home,,1180,2170,506,1159
2011,OH,Adult group home,,1280,2370,606,1359
2011,OH,Residential care facility,,1280,2370,606,1359
2011,OH,Adult residential care facility,,1180,2170,506,1159
