,year,state,liv_arr,combn_indv,combn_cpl,state_indv,state_cpl
0,1991,AL,Receiving personal care in a private home or a personal care home Level A,467.00,730.00,60.00,120.00
1,1991,AL,Receiving personal care in a private home or a personal care home Level B,463.00,722.00,56.00,112.00
2,1991,AL,Receiving personal care and support and maintenance in a private home or personal care home Level A,331.34,526.67,60.00,120.00
3,1991,AL,Receiving personal care and support and maintenance in a private home or personal care home Level B,327.34,518.67,56.00,112.00
4,1991,AL,Receiving nursing care in a private home or personal care care home,467.00,730.00,60.00,120.00
5,1991,AL,Receiving nursing care and support and maintenance in a private home or personal care home,331.34,526.67,60.00,120.00
6,1991,AL,Living in foster home with personal care or nursing care,517.00,830.00,110.00,220.00
7,1991,AL,Living in cerebral palsy treatment center,603.00,1002.00,196.00,392.00
8,1991,AK,Living independently,756.00,1120.00,349.00,510.00
9,1991,AK,Living independently with ineligible spouse,909.00,N/A,502.00,N/A
10,1991,AK,Living in household of another,626.34,930.67,355.00,524.00
11,1991,AK,Living in household of another with ineligible spouse,718.34,N/A,447.00,N/A
12,1991,AK,Medicaid facility,75.00,150.00,45.00,90.00
13,1991,AZ,Requires housekeeping services,477.00,N/A,70.00,N/A
14,1991,AZ,Licensed private nursing homes,487.00,770.00,80.00,160.00
15,1991,AZ,Licensed county operated nursing homes,N/A,N/A,174.00,348.00
16,1991,AZ,"Licensed supervisory care homes, adult foster care homes, or 24-hour treatment facilities",457.00,710.00,50.00,100.00
17,1991,CA,Independent living with cooking facilities Aged and disabled,630.00,1167.00,223.00,557.00
18,1991,CA,Independent living with cooking facilities Blind,704.00,1372.00,297.00,762.00
19,1991,CA,Nonmedical out-of-home care,709.00,1418.00,302.00,808.00
20,1991,CA,Independent living without cooking facilities Aged and disabled,698.00,1303.00,291.00,693.00
21,1991,CA,Living in household of another Aged and disabled,501.34,974.00,230.00,567.33
22,1991,CA,Living in household of another Blind,575.34,1179.00,304.00,772.33
23,1991,CA,"Disabled minor in home of parent, guardian, or relative",499.00,N/A,92.00,N/A
24,1991,CA,"Nonmedical out-of-home care, living in household of another",580.34,1225.00,309.00,818.33
25,1991,CA,Disabled minor in the household of another,370.34,N/A,99.00,N/A
26,1991,CA,Medicaid facility,42.00,84.00,12.00,24.00
27,1991,CO,Living independently Aged,452.00,904.00,45.00,294.00
28,1991,CO,Living independently Blind and disabled,407.00,814.00,0.00,204.00
29,1991,CO,Adult foster care,604.00,N/A,197.00,N/A
30,1991,CO,Home care Aged,771.00,N/A,364.00,N/A
31,1991,CO,Home care Blind and disabled,726.00,N/A,319.00,N/A
32,1991,CO,Individual with essential spouse Blind and disabled,535.00,N/A,128.00,N/A
33,1991,CT,Independent community living,766.00,1132.00,359.00,522.00
34,1991,DE,Living in adult residential care facility,547.00,1058.00,140.00,448.00
35,1991,DC,Adult foster-care home (50 beds or less),554.20,1108.40,147.20,498.40
36,1991,DC,Adult foster-care home (over 50 beds),664.20,1328.40,257.20,718.40
37,1991,DC,Living independently,422.00,640.00,15.00,30.00
38,1991,DC,Living in household of another,286.34,436.67,15.00,30.00
39,1991,DC,Living independently with an essential person,626.00,844.00,15.00,30.00
40,1991,DC,Living in household of another with an essential person,422.34,572.68,15.00,30.00
41,1991,DC,Medicaid facility,60.00,120.00,30.00,60.00
42,1991,FL,"Community care program, Adult foster care Normal/Minimal",618.00,N/A,211.00,N/A
43,1991,FL,"Community care program, Adult foster care Moderate",618.00,N/A,211.00,N/A
