,year,state,liv_arr,combn_indv,combn_cpl,state_indv,state_cpl
0,1994,AL,Receiving independent home-life care in a private home or a personal care home Level A,506.00,789.00,60.00,120.00
1,1994,AL,Receiving independent home-life care in a private home or a personal care home Level B,502.00,781.00,56.00,112.00
2,1994,AL,Receiving independent home-life care and support and maintenance in a private home or personal care home Level A,357.34,566.00,60.00,120.00
3,1994,AL,Receiving independent home-life care and support and maintenance in a private home or personal care home Level B,353.34,558.00,56.00,112.00
4,1994,AL,Receiving specialized independent home-life care in a private home or personal care home,506.00,789.00,60.00,120.00
5,1994,AL,Receiving specialized independent home-life care and support and maintenance in a private home or personal care home,357.34,566.00,60.00,120.00
6,1994,AL,Living in foster home with independent home-life care or specialized independent home-life care,556.00,889.00,110.00,220.00
7,1994,AL,Living in cerebral palsy treatment center,642.00,1061.00,196.00,392.00
8,1994,AK,Living independently,808.00,1197.00,362.00,528.00
9,1994,AK,Living independently with ineligible spouse,967.00,N/A,521.00,N/A
10,1994,AK,Living in household of another,665.34,989.00,368.00,543.00
11,1994,AK,Living in household of another with ineligible spouse,761.34,N/A,464.00,N/A
12,1994,AK,Medicaid facility,75.00,150.00,45.00,90.00
13,1994,AZ,Requires housekeeping services,516.00,N/A,70.00,N/A
14,1994,AZ,Licensed private nursing homes,526.00,829.00,80.00,160.00
15,1994,AZ,Licensed county operated nursing homes,N/A,N/A,174.00,348.00
16,1994,AZ,"Licensed supervisory care homes, adult foster care homes, or 24-hour treatment facilities",496.00,769.00,50.00,100.00
17,1994,CA,Independent living with cooking facilities Aged and disabled,603.40,1109.22,157.40,440.22
18,1994,CA,Independent living with cooking facilities Blind,670.40,1297.01,224.40,628.01
19,1994,CA,Nonmedical out-of-home care,748.00,1477.00,302.00,808.00
20,1994,CA,Independent living without cooking facilities Aged and disabled,671.40,1245.22,225.40,576.22
21,1994,CA,Living in household of another Aged and disabled,476.77,919.82,179.43,473.82
22,1994,CA,Living in household of another Blind,543.91,1106.61,246.57,660.61
23,1994,CA,Disabled minor in home of parent,509.40,N/A,63.40,N/A
24,1994,CA,"Nonmedical out-of-home care, living in household of another",606.34,1264.33,309.00,818.33
25,1994,CA,Disabled minor in the household of another,364.17,N/A,66.83,N/A
26,1994,CA,Medicaid facility,42.00,84.00,12.00,24.00
27,1994,CO,Living independently Aged,502.00,992.00,56.00,323.00
28,1994,CO,Living independently Blind and disabled,446.00,880.00,0.00,211.00
29,1994,CO,Adult foster care,652.00,N/A,206.00,N/A
30,1994,CO,Home care Aged,802.00,N/A,356.00,N/A
31,1994,CO,Home care Blind and disabled,746.00,N/A,300.00,N/A
32,1994,CO,Individual with essential spouse Blind and disabled,574.00,N/A,128.00,N/A
33,1994,CT,Independent community living,747.10,1094.20,301.10,425.20
34,1994,DE,Living in adult residential care facility,586.00,1117.00,140.00,448.00
35,1994,DC,Adult foster-care home (50 beds or less),593.20,1186.40,147.20,517.40
36,1994,DC,Adult foster-care home (over 50 beds),703.20,1406.40,257.20,737.40
37,1994,DC,Living independently,461.00,699.00,15.00,30.00
38,1994,DC,Living in household of another,312.34,476.00,15.00,30.00
39,1994,DC,Living independently with an essential person,684.00,922.00,15.00,30.00
40,1994,DC,Living in household of another with an essential person,461.00,624.67,15.00,30.00
41,1994,DC,Medicaid facility,70.00,140.00,40.00,80.00
42,1994,FL,Community care program Adult foster care,630.00,N/A,184.00,N/A
43,1994,FL,Community care program Adult congregate living facilities,630.00,N/A,184.00,N/A
44,1994,FL,Adult congregate living facilities,35.00,70.00,5.00,10.00
45,1994,HI,Living independently,450.90,677.80,4.90,8.80
46,1994,HI,Domiciliary Care I,730.90,1461.80,284.90,792.80
47,1994,HI,Domiciliary Care II,815.90,1631.80,369.90,962.80
48,1994,HI,Domiciliary Care III,917.90,1835.80,471.90,1166.80
49,1994,ID,Living independently,491.00,690.00,45.00,21.00
50,1994,ID,Living with essential person,709.00,N/A,40.00,N/A
51,1994,ID,Room and board facility,526.00,N/A,80.00,N/A
52,1994,ID,Adult residential care home/Adult foster care home Level I,690.00,N/A,244.00,N/A
53,1994,ID,Adult residential care home/Adult foster care home Level II,742.00,N/A,296.00,N/A
54,1994,ID,Adult residential care home/Adult foster care home Level III,791.00,N/A,345.00,N/A
